asin,prop_topic_1,prop_topic_2,prop_topic_3,prop_topic_4,prop_topic_5,prop_topic_6,prop_topic_7,prop_topic_8,prop_topic_9,prop_topic_10,prop_topic_11,prop_topic_12,prop_topic_13,prop_topic_14,prop_topic_15,prop_topic_16,prop_topic_17,prop_topic_18,prop_topic_19,prop_topic_20,prop_topic_21,prop_topic_22,prop_topic_23,prop_topic_24,prop_topic_25,prop_topic_26,prop_topic_27,prop_topic_28,prop_topic_29,prop_topic_30,prop_topic_31,prop_topic_32,prop_topic_33,prop_topic_34,prop_topic_35,delete
0001713353,0.002964665163056584,0.0061421053378157954,0.00306396016851781,0.009716725534419905,0.007532235414272947,0.0025674851412116825,0.012496985687334213,0.037717917074485435,0.004156205228591289,0.007830120430656623,0.0037590252067463865,0.010709675589032156,0.0043547952395137386,0.007432940408811722,0.008624480474346425,0.022426486233456742,0.00624140034327702,0.006340695348738245,0.060059293303261124,0.008922365490730102,0.007333645403350499,0.00514915528320354,0.016965260933089348,0.005645630310509668,0.011404740627260736,0.004156205228591288,0.0081280054470403,0.003163255173979035,0.6226647942465637,0.00624140034327702,0.03285246180688541,0.01130544562179951,0.002269600124828007,0.013092755720101565,0.016568080911244447,
0001061240,0.0025994137492395338,0.004051213981527571,0.002986560477849677,0.09299817487970798,0.0069548144461036455,0.0034704938886123567,0.003760853935069963,0.02273104363696697,0.03676511254908468,0.0038576406172225,0.0023090537027819252,0.0058901609424257505,0.002889773795697141,0.007535534539018859,0.004148000663680107,0.020214589901001043,0.034055085448813666,0.02079530999391626,0.0054062275316630725,0.004341574027985179,0.003470493888612356,0.0033737072064598203,0.002502627067086997,0.010342348321442398,0.016633482661357224,0.003954427299375035,0.004148000663680106,0.0067612410817985726,0.6230020463469941,0.002889773795697141,0.0065676677174935005,0.007148387810408716,0.007535534539018859,0.005115867485205465,0.008793761407001824,
0001711296,0.0021223387282293324,0.004148207514266421,0.004667661049147728,0.0093946882165676,0.006226021653791642,0.003888480746825769,0.0033170818584563337,0.032458425165297546,0.008615507914245642,0.0050832238770527685,0.005654622765422206,0.009654414984008252,0.002849573677063159,0.00399237145380203,0.003888480746825769,0.06128809635120995,0.0058624041793747285,0.002693737616598768,0.005446841351469683,0.004511824988683334,0.007161038016577989,0.02451078608161358,0.014173660737475603,0.0093946882165676,0.004719606402635857,0.00399237145380203,0.062327003420972575,0.009966087104937037,0.6019872808091603,0.002693737616598768,0.005446841351469683,0.009342742863079468,0.025809419918816842,0.01687481911885839,0.01583591204909578,
0002007649,0.0013222241201515813,0.006237861160140949,0.0023407795428520817,0.0034921900206874297,0.004599315480144495,0.004865025590414191,0.019789076783895437,0.005529300866088429,0.0028279147450131904,0.002163639469338952,0.0020750694325823863,0.0026507746715000607,0.00163221924879956,0.005307875774197017,0.0017650743039344075,0.003979325222848539,0.0014993641936647114,0.0013222241201515815,0.016201990295254546,0.002163639469338951,0.0013665091385298635,0.23691852189261514,0.026741824669285808,0.0013222241201515813,0.002429349579608647,0.2749150676611816,0.0023850645612303644,0.0020750694325823863,0.0018093593223126906,0.0014107941569081466,0.3378883637950995,0.0013665091385298641,0.006680711343923779,0.0018093593223126906,0.009116387354729322,
0001716069,0.0035946524496142827,0.008400985500222141,0.00486691708065754,0.016812068338785898,0.004442828870309786,0.005715093501353043,0.011723009814612865,0.022607940546871843,0.01009733834161315,0.004230784765135911,0.0032412456076578227,0.030382891069913976,0.004372147501918495,0.004937598449048832,0.0016862555030493962,0.054273193586170686,0.007058039500787594,0.0043014661335272035,0.05130457611373642,0.024304293388262857,0.0029585201340926537,0.008966436447352476,0.026071327598045164,0.016034573286481682,0.016105254654872968,0.006563269922048548,0.012995274445656124,0.0040187406599620345,0.5599277030574741,0.005927137606526921,0.005927137606526921,0.002534431923744901,0.04289349327517267,0.005432368027787875,0.0052910052910052924,
0001841572,0.004594820384294071,0.01221488063593327,0.006101111364269261,0.03932811827548671,0.011683248525353794,0.012569302042986256,0.006809954178375235,0.007075770233664973,0.1865016075542392,0.02896129211918687,0.006721348826611987,0.060061770588086386,0.008316245158350425,0.04827725880357461,0.10604794815321132,0.005746689957216275,0.012835118098275993,0.005746689957216275,0.043403964456596056,0.016556542872332346,0.032062479430900515,0.005746689957216275,0.0045062150325308244,0.05199868357763096,0.013278144857092227,0.004772031087820564,0.11659198501303765,0.0792891319207109,0.006721348826611987,0.009645325434799124,0.0037973722184248522,0.00663274347484874,0.01425280372648794,0.006012506012506015,0.015138857244120403,
0002117010,0.003928089454405243,0.010507036822826287,0.025576762418867676,0.07112332112332108,0.004209241051346313,0.004884004884004882,0.01365593470856628,0.0987886382623224,0.0035344772186877444,0.006289762868710236,0.08090739669687035,0.002972174024805603,0.0035907075380759578,0.005165156480945954,0.0024661011503116764,0.0232713193239509,0.006964526701368805,0.002297410192147033,0.003984319773793457,0.004771544245228455,0.0021849495533706057,0.02422723475355053,0.004209241051346313,0.028894351262772306,0.14675310070046912,0.0032533256217466737,0.002803483066640961,0.33529336160915096,0.020347342715763758,0.007245678298309875,0.007358138937086303,0.003984319773793457,0.02220294325557483,0.004771544245228455,0.007583060214639158,
0001840266,0.008904374758033297,0.00592334494773519,0.007278358497870694,0.03329461866047232,0.0124274099883856,0.00592334494773519,0.008091366627951995,0.01595044521873791,0.014595431668602403,0.007820363917924896,0.009717382888114596,0.013782423538521105,0.008091366627951993,0.026248548199767716,0.010801393728222995,0.013782423538521105,0.010801393728222995,0.0129694154084398,0.008904374758033297,0.02191250483933411,0.012698412698412702,0.006194347657762291,0.0097173828881146,0.007820363917924896,0.033565621370499434,0.007549361207897794,0.009446380178087495,0.008362369337979096,0.4945412311265969,0.005923344947735192,0.022996515679442508,0.08315911730545876,0.027061556329849013,0.005381339527680991,0.008362369337979096,
0001983008,0.008205957280031354,0.005633940819126004,0.010435038212815991,0.027238879090730937,0.02140897511267881,0.003404859886341368,0.013007054673721338,0.012664119145600628,0.005805408583186361,0.007177150695669216,0.0034048598863413663,0.008205957280031354,0.007863021751910641,0.009920634920634918,0.004433666470703507,0.026553008034489508,0.006319811875367431,0.04095630021555946,0.008034489515970997,0.009406231628453849,0.005633940819126004,0.004433666470703507,0.004776601998824221,0.005805408583186361,0.039241622574955885,0.003233392122281011,0.019179894179894182,0.005291005291005291,0.5517587693513619,0.01746521653929061,0.005805408583186361,0.012492651381540269,0.022437781697040957,0.006319811875367431,0.05604546345287086,
0001712764,0.001984126984126984,0.004645470962836233,0.004728637962170898,0.0040633019674935844,0.013627506890979942,0.0028989639768082875,0.007057313943541489,0.04148845166809239,0.0020672939834616485,0.004728637962170898,0.002982130976142952,0.0040633019674935844,0.00456230396350157,0.004728637962170898,0.0025662959794696327,0.009718657922250738,0.004229635966162913,0.0030652979754776173,0.0034811329721509358,0.00481180496150556,0.005393973956848208,0.008055317935557455,0.00855431993156544,0.005310806957513545,0.0076394829388841375,0.002982130976142952,0.012213667902290656,0.0028989639768082893,0.7598849919209201,0.0028989639768082875,0.005809808953521528,0.006974146944206824,0.005643474954852201,0.00605930995152552,0.02818173177454615,
